,l,b,d,r,phi,x,y,z,vlos,vll,vbb,mu_l,mu_b,vphi,vr,vT,vz,vx,vy
1,10.7777010865,-9.6301323332e-05,1.60709155049,6.42828568418,0.0467671543117,6.42125709911,0.300523051588,0.0,-2.07905777791,-8.17414020139,-7.27843295975,-1.07282162951,-0.955263809495,278.829290529,-7.00180932327e-10,224.04929208,0.0,-10.4743286585,223.804320156
17,62.2883191425,-0.000112640374356,3.4098917073,7.0891813659,0.439876769059,6.41432068644,3.01877169889,0.0,11.5418741601,-88.4523087424,-6.92094032595,-5.47186673833,-0.428145558957,251.048109646,4.37195069431e-09,222.465697606,0.0,-94.7321160535,201.287885376
19,354.559568566,-7.36624770258e-05,0.915474024887,7.0891813659,6.2709413181,7.08864998427,-0.0867976904917,0.0,-12.6305331167,-11.0552889131,-7.60087904694,-2.54648306646,-1.75079185496,251.048109646,4.36937736823e-09,222.465697606,0.0,2.72379951931,222.449022312
20,61.0740222618,-0.000113324360767,3.87813436255,7.00196434333,0.506096092476,6.12422365821,3.39431719931,0.0,14.0998777766,-102.910320499,-6.87786182623,-5.5976488765,-0.374110733866,254.430685089,3.55897750797e-10,222.689323106,0.0,-107.952306304,194.773802625
30,69.9057933332,-0.000107209665374,2.78476483403,7.51311681177,0.355534571582,7.04325056541,2.61525251176,0.0,-0.51462718801,-70.4539693333,-7.04822880562,-5.33676448363,-0.533890957717,235.683451535,2.74558443336e-07,221.339662748,0.0,-77.0464670684,207.497200505
33,298.398959683,3.50236756661e-05,1.17353292159,7.513116803,6.14534860188,7.44185903609,-1.03230721321,0.0,-8.1520035837,-42.6786884866,-7.54259601776,-7.67000876688,-1.35551910409,235.683452085,1.71637076249e-08,221.339663006,0.0,30.4122159698,219.240378442
37,222.03717654,0.000117262443443,0.6373443689,8.48410348191,6.23286135672,8.47336275295,-0.426773416101,0.0,25.9591792449,-4.48981492667,-6.24673659708,-1.48490624353,-2.06596893774,206.179137165,-6.58455681605e-10,218.65564194,0.0,10.9989718364,218.378827661
47,59.0349815589,-0.000114358266202,2.76426978797,6.9917834445,0.34586812783,6.57774051713,2.37030914104,0.0,13.7250505918,-66.9301292256,-6.94687125375,-5.10742588658,-0.530114471355,254.830776707,-1.1605410733e-10,222.715200716,0.0,-75.5034649308,209.526340619
51,35.0579378062,-0.000115471508033,0.823945131017,7.34081391252,0.064516773832,7.32554145745,0.473277142183,0.0,-3.41850993503,-10.771827501,-7.33772443477,-2.7565754013,-1.87776778607,241.721292387,1.38628917571e-08,221.803878263,0.0,-14.3001452944,221.342418567
52,293.96618928,4.3588205781e-05,3.91835845352,7.34081391252,5.7736657465,6.40837599549,-3.58053990322,0.0,-13.1261281853,-124.664137264,-7.68967970725,-6.71130739554,-0.413974743829,241.721292387,1.38653721172e-08,221.803878263,0.0,108.186591619,193.63011596
58,82.9809028442,-9.3547338264e-05,2.69363426816,8.12336292085,0.335356545614,7.67083497333,2.67344645651,0.0,-17.0874902457,-63.7875069494,-7.21116788727,-4.99524614737,-0.564711811601,216.321615049,9.1609065113e-09,219.657373333,0.0,-72.2905318936,207.420926278
62,74.8376184653,-0.000102677086907,3.47317438667,7.8439813373,0.441579551689,7.09156893124,3.35226689175,0.0,-10.0157496772,-88.8531328773,-7.05439728278,-5.39651641806,-0.428450517424,224.816661599,1.56772491474e-08,220.432212237,0.0,-94.2056814099,199.287856584
67,284.308716287,6.12769413195e-05,1.73177167192,7.755710108,6.06509754566,7.57200038473,-1.67804929993,0.0,1.83136809301,-61.1483499663,-7.40942093383,-7.44779063822,-0.90245797141,227.626674533,1.6938942448e-08,220.675812566,0.0,47.7460977472,215.448658389
84,329.339955008,-2.76314501792e-05,1.93685689044,6.4104469362,6.12849427507,6.33390095674,-0.987688509646,0.0,-33.6298882877,-32.5690700581,-7.73652987127,-3.54691065035,-0.842541102592,279.652981708,-1.07807371904e-08,224.087574974,0.0,34.5262545795,221.411786051
92,50.3036640776,-0.000117135116248,2.76009615205,6.58872541442,0.328187262439,6.23707323863,2.12372785512,0.0,23.2649646594,-60.0393716387,-6.89523286949,-4.5885208553,-0.52696953616,271.606348326,-1.27078944309e-08,223.692456242,0.0,-72.1022459579,211.753585819
96,72.9022010372,-0.000104548448386,1.50658074907,7.6930306972,0.18829253393,7.55705848466,1.43999596092,0.0,-5.60780804509,-33.4209889632,-7.24427967982,-4.67892082283,-1.01419533329,229.660564158,4.47433859703e-06,220.84822125,0.0,-41.3387812009,216.944790208
