,l,b,d,r,phi,x,y,z,vlos,vll,vbb,mu_l,mu_b,vphi,vr,vT,vz,vx,vy
0,306.8675427,1.81233178529e-05,5.39995968207,6.42828568762,5.54621695822,4.76020576961,-4.32010392383,0.0,-43.8981983436,-169.117474888,-7.87579932056,-6.60650718326,-0.307664981514,278.829290231,-1.79294853281e-07,224.04929196,0.0,150.571438718,165.910599632
1,10.7777010865,-9.6301323332e-05,1.60709155049,6.42828568418,0.0467671543117,6.42125709911,0.300523051588,0.0,-2.07905777791,-8.17414020139,-7.27843295975,-1.07282162951,-0.955263809495,278.829290529,-7.00180932327e-10,224.04929208,0.0,-10.4743286585,223.804320156
2,353.263433239,-7.1572716017e-05,14.3041836508,6.42828568438,3.40567909123,-6.20542581723,-1.6779592566,0.0,-16.4758474732,-453.584899944,-7.44434290995,-6.68918866378,-0.109784550166,278.829290512,-1.12039517608e-08,224.049292073,0.0,58.483023639,-216.28180974
3,47.4359982559,-0.000117456220406,7.98136249308,6.42828568438,1.15418520025,2.60129434963,5.87844575943,0.0,26.8283998185,-238.506503333,-6.61708102757,-6.30375980419,-0.174890364916,278.829290512,-1.12030817964e-08,224.049292073,0.0,-204.885357556,90.6646322296
4,339.450681114,-4.72525188632e-05,13.2734639969,6.42828568762,3.95232663554,-4.42887434976,-4.65917684529,0.0,-26.7335166159,-422.89197197,-7.76345077103,-6.72083126085,-0.123381019486,278.829290231,-1.79293927123e-07,224.04929196,0.0,162.389371728,-154.362486303
5,310.555581152,1.06176621217e-05,7.3106874319,6.43377016442,5.24134764169,3.2467029876,-5.55448631638,0.0,-42.3976782643,-232.861330552,-7.94745431053,-6.71916361943,-0.229322085139,278.576893173,-1.13248964114e-08,224.037462974,0.0,193.418942643,113.057053927
6,37.58827833,-0.000116320499359,10.5322163436,6.43377016421,1.62458333445,-0.345886411446,6.42446582342,0.0,19.486033389,-323.278274247,-6.58745593048,-6.47491574706,-0.131939649321,278.576893191,-7.07075467202e-10,224.037462982,0.0,-223.713466188,-12.0444952379
7,5.23374076432,-8.93455813125e-05,14.3588983654,6.43377016442,2.93657882062,-6.29903523365,1.30979145433,0.0,-6.81432682114,-452.852946123,-7.13218341357,-6.65294625738,-0.10478022359,278.576893173,-1.13214848957e-08,224.037462974,0.0,-45.6097042454,-219.345708175
8,313.523552112,4.5440288035e-06,8.29217516101,6.43377016442,5.07623234031,2.28957685173,-6.01258982208,0.0,-41.2205023642,-264.872176406,-7.97395960773,-6.73820929449,-0.202853351649,278.576893173,-1.13236992319e-08,224.037462974,0.0,209.371074066,79.727900765
9,306.535560847,1.87957236778e-05,5.03723224413,6.43377022124,5.60281620639,5.00123066115,-4.04735606707,0.0,-43.8026773384,-156.72121637,-7.86070190077,-6.56310070048,-0.3291869432,278.576888253,-2.90274880912e-06,224.037460996,0.0,140.937480095,174.153411203
